Header_Identifier,Date_Latest,Metadata_Identifier,Metadata_Identifier_Handle_ID,Metadata_Identifier_CMS_ID,Metadata_Identifier_Accession_ID,Metadata_Identifier_File_ID,URL
oai:rosetta.slv.vic.gov.au:IE791240,2021-09-04T10:33:53Z,IE791240,10381/423198,2247959,,FL16045763,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16045763
oai:rosetta.slv.vic.gov.au:IE7912437,2021-09-03T21:53:05Z,IE7912437,10381/120468,970173,,FL19398488,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19398488
oai:rosetta.slv.vic.gov.au:IE791245,2021-09-03T21:53:05Z,IE791245,10381/127455,2282891,,FL15770813,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15770813
oai:rosetta.slv.vic.gov.au:IE791248,2021-09-03T21:53:06Z,IE791248,10381/75272,1761651,,FL16032615,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16032615
oai:rosetta.slv.vic.gov.au:IE77555,2021-09-03T21:13:42Z,IE77555,10381/242531,2562653,,FL16007981,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16007981
oai:rosetta.slv.vic.gov.au:IE775550,2021-09-03T21:13:43Z,IE775550,10381/199829,1726941,H98.105/5060,FL15781846,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15781846
oai:rosetta.slv.vic.gov.au:IE775558,2021-09-03T21:13:43Z,IE775558,10381/416231,1750275,H98.103/4238,FL15576993,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15576993
oai:rosetta.slv.vic.gov.au:IE775561,2021-09-03T21:13:44Z,IE775561,10381/4094983,1793131,,FL17709028,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL17709028
oai:rosetta.slv.vic.gov.au:IE775564,2021-09-03T21:13:44Z,IE775564,10381/204268,1774394,H98.105/2136,FL16007961,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16007961
oai:rosetta.slv.vic.gov.au:IE775567,2021-09-03T21:13:45Z,IE775567,10381/425209,1775301,,FL16331671,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16331671
oai:rosetta.slv.vic.gov.au:IE7755675,2021-09-03T21:13:46Z,IE7755675,10381/302657,977584,,FL19463072,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19463072
oai:rosetta.slv.vic.gov.au:IE775570,2021-09-03T21:13:46Z,IE775570,10381/240374,1777076,,FL16329903,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL16329903
oai:rosetta.slv.vic.gov.au:IE7755713,2021-09-04T21:47:44Z,IE7755713,10381/302646,977584,,FL19455012,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19455012
oai:rosetta.slv.vic.gov.au:IE775577,2021-09-03T21:13:49Z,IE775577,10381/416527,1733665,H98.100/2026,FL15549934,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL15549934
oai:rosetta.slv.vic.gov.au:IE7755781,2021-09-03T21:13:50Z,IE7755781,10381/302684,977584,,FL19464125,https://rosetta.slv.vic.gov.au/delivery/DeliveryManagerServlet?dps_func=stream&dps_pid=FL19464125
